Company/Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage
True Elements,2011,Pune,Food & Beverages,"Committed to improving the quality of life, True Elements provides food that is packed with the goodness of nature!","Puru Gupta, Sreejith Moolayil",RP-Sanjiv Goenka Group,1000000.0,Unknown
Siply,2020,Bangalore,Finance,Siply Services operates as a micro-savings platform.,Sousthav Chakrabarty,Inflection Point Ventures,1000000.0,Seed
Nao Spirits & Beverages Pvt Ltd,2016,New Delhi,Food & Beverages,India's first Craft Gin company,Anand Virmani,Inflection Point Ventures,2000000.0,Series A
PurpleTutor,2019,Mumbai,Education,PurpleTutor is the only coding platform that mandates every teacher to have a formal Computer Science degree,"Gaurav Perti, Yatish Gupta",IvyCap Ventures,300000.0,Seed
Karkhana.io,2018,Mumbai,Manufacturing,Karkhana.io is an on-demand manufacturing platform with a vision of digitalizing manufacturing.,Sonam Motwani,Zone Startups In,1500000.0,Seed
SSA Finserv,2019,Mumbai,Finance,Small businesses-focused non-banking lender,Vikas Agarwal,Blue Ashva Capital,3000000.0,Unknown
CoinSwitch Kuber,2017,Bangalore,Finance,Coinswitch.co is a cryptocurrency exchange aggregator platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Ribbit Capital, Kunal Shah",15000000.0,Series A
Paperfly,2016,Bangalore,E-commerce,Paperfly is an e-commerce fulfillment and nationwide delivery solution in Bangladesh,"Shahriar Hasan, Md Razibul Islam, Rahath Ahmed, Shamsuddin Ahmed",Ecom Express,11000000.0,Unknown
Infra.Market,2016,Thane,E-commerce,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects.,"Souvik Sengupta, Aaditya Sharda",InnoVen Capital,6000000.0,Debt Financing
ReadyAssist,2018,Bangalore,Manufacturing,"ReadyAssist is one of the India's leading 24/7 roadside assistance, breakdown support, towing and repairs provider for both Bikes & Cars.",Vimal Singh SV,Satish Grampurohit,1000000.0,Seed
Chalo,2014,Mumbai,Technology,Chalo is a free app that tracks buses live and tells you what time your bus will reach your stop.,"Mohit Dubey, Nikhil Aggarwal","Amit Singhal, Raine Ventures",7000000.0,Unknown
Udaan,2016,Bangalore,E-commerce,"Udaan is a B2B trade platform that brings manufacturers, traders, retailers, and wholesalers into a single platform","Amod Malviya, Sujeet Kumar, Vaibhav Gupta","Octahedron Capital, Moonstone Capital",280000000.0,Unknown
Unacademy,2015,Bangalore,Education,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Tiger Global, Dragoneer Investment Group, Steadview Capital, General Atlantic",50000000.0,Unknown
Ergos,2012,Samsitpur,Agriculture,Ergos is building an integrated supply chain platform that enables farmers to convert their grains to digital assets.,"Kishor Kumar Jha, Praveen Kumar","CDC Group, Aavishkaar Venture Capital",3000000.0,Series A
Bolkar,2018,Bangalore,Technology,Bolkar App is an Audio Based Q&A platform for the Next Billion Users.,"Abhishek Tripathi, Dhruv Kaushal, Prince Tripathi, Saurabh Rai","GSF, Pras Hanuma",3500000.0,Unknown
Wright Research,2019,Mumbai,Services,Quantitative Investment Management and Research,Sonam Srivastava,"Ajat Hukkoo, Piyush Chaplot",3500000.0,Pre-Seed
Knocksense,2016,Lucknow,Media & Entertainment,Knocksense which owns and operates an eponymous digital content platform.,"Varul Mayank, Vibhore Mayank, Vibhore Mayank","Mumbai Angels, Amitesh Pandey",200000.0,Unknown
Pariksha,2015,Pune,Education,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India","Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat","Venture Catalysts, 9Unicorns Accelerator Fund",1800000.0,Unknown
Toothsi,2018,Mumbai,Healthcare,ToothSi is a new age startup in the dental space providing smile correction services at home.,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale",Think Investments,5000000.0,Series A
Jumbotail,2015,Bangalore,Food & Beverages,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.","Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, 23 High Networth Individuals (HNIs)",14300000.0,Series B
Phi Commerce,2015,Pune,Finance,"Payments Facilitator, Payments solution provider etc.","Anil Sharma, Jose Thattil, Rajesh Londhe, Tushar Shankar","Yatra Angel Network, BEENEXT",4000000.0,Series A
Zupee,2018,Gurgaon,Media & Entertainment,Zupee is a skill-based gaming app that enables its users to play against each-other live,"Dilsher Singh Malhi, Siddhant Saurabh","Orios Venture Partners, Matrix Partners India",10000000.0,Unknown
Oneiric Gaming,2020,Chandigarh,Media & Entertainment,Oneiric Gaming connects to fellow dreamers around the globe over cult favorite games like Bluff and Cricket.,Avneet Singh,Trishneet Arora,3500000.0,Unknown
Finsall,2019,Bangalore,Finance,Finsall provides Insurance Premium Financing,"Prabal Khanna, Tim Mathews",Unicorn India Ventures,300000.0,Seed
Legalwiz.in,2015,Ahmedabad,Technology,"LegalWiz.in is committed to provide high quality professional services for small businesses, start-up entrepreneurs and individuals.","Shrijay Sheth, Gaurav Barot",ContCentric,500000.0,Unknown
Practically,2018,Telangana,Education,"Making Learning personal, immersive and experiental",Subbarao Siddabattula,Siana Capital,4000000.0,Series A
Cred,2018,Bangalore,Finance,CRED is a Bengaluru-based fintech startup that offers rewards for customers who use its platform to pay their credit card bills.,Kunal Shah,"DST Global, General Catalyst",81000000.0,Series C
Devic Earth,2018,Bangalore,Healthcare,"State-of-the-art air pollution control equipment to improve air quality across buildings, industries, and cities.",Dr Srikanth Sola,Blue Ashva Capital,1000000.0,Unknown
Zerone,2018,Gurgaon,Finance,"Convert smartphones into a POS machine using our ZUP proximity payment technology, with no additional hardware and no need for NFC.",Jaijit Bhattacharya,Anthill Ventures,1300000.0,Pre-Series
boAt,2016,Mumbai,Lifestyle,boAt is a lifestyle brand that deals in fashionable consumer electronics.,"Aman Gupta, Sameer Mehta","InnoVen Capital, InnoVen Capita",100000000.0,Equity
Pocket Aces,2013,Mumbai,Media & Entertainment,Pocket Aces is a digital entertainment company focused on mobile video.,"Anirudh Pandita, Aditi Shrivastava, Ashwin Suresh","3one4 Capital, DSP Group",2000000.0,Unknown
Kyt,2020,Bangalore,Education,"An online-first, global academy for extracurricular learning | Private & small group online classes for kids","Bhavik Rathod, Tripti Ahuja",Alpha Wave Incubation,5000000.0,Series A
iMumz,2019,Bangalore,Healthcare,"iMumz empowers pregnant mothers to deliver healthy, happy, and intelligent babies through a positive lifestyle.","Dr Jaideep Malhotra, Rajesh Jagasia, Ravi Teja Akondi, Mayur Dhurpate","Enzia Ventures, AngelList",300000.0,Unknown
BharatPe,2018,New Delhi,Finance,BharatPe develops a QR code-based payment app for offline retailers and businesses.,"Ashneer Grover, Shashvat Nakrani","Steadview Capital, Insight Partners",8200000.0,Debt Financing
CropIn,2010,Bangalore,Agriculture,CropIn is a leading AI and Data-led agri-tech organization that provides SaaS solutions to agribusinesses globally using deep learning.,Krishna Kumar,"Invested Development, Pratithi Investment Trust",20000000.0,Series C
Vanity Wagon,2018,Haryana,Lifestyle,"Vanity Wagon is India’s #1 Natural Organic Beauty Marketplace. Buy Ayurvedic Natural Beauty Products in India for skin, hair & body care.",Prateek Ruhail,"Dhianu Das, Agility Venture Partners",200000.0,Seed
Oyo,2012,Gurgaon,Hospitality,OYO operates a branded network of hotels designed to offer standardized stay experiences.,Ritesh Agarwal,Hindustan Media Venture,7000000.0,Later Stage
Agri10x,2018,Pune,Agriculture,Agri10x integrates the entire Agri value-chain through a digital cooperative platform by harnessing emerging technologies,"Abhijith Naraparaju, Pankajj P. Ghode, Sundeep Bose",Omnivore,3500000.0,Seed
BlackSoil,2016,Mumbai,Finance,Blacksoil Advisory is an independent boutique advisory firm.,Ankur Bansal,Awign Enterprises,4000000.0,Unknown
HobSpace,2019,Mumbai,Education,HobSpace is a platform for extra-curricular activities online and offline for kids between 3-14 years.,"Priya Goel Sheth, Harsh Jain","Siddharth Bhaskar Shah, Upsparks",100000.0,Pre-Series
DcodeAI,2020,New Delhi,Education,EMPOWER LEARNERS TO BE FUTURE READY USING AI,"Kartik Sharma, Ashish Aggarwal",S Chand,500000.0,Unknown
Biocon Biologics,1978,Bangalore,Healthcare,"Biocon is a fully integrated pure play biosimilars organization, globally engaged in developing high quality affordable biosimilars.",Kiran Mazumdar-Shaw,"Goldman Sachs, Tata Capital",70000000.0,Unknown
KiranaKart,2020,Mumbai,E-commerce,A better model for instant grocery delivery in India.,"Kaivalya Vohra, Aadit Palicha",Global Founders Capital,720000.0,Pre-Seed
Meddo,2018,Gurgaon,Healthcare,Meddo is an end-to-end medical services provider,Saurabh Kochhar,"growX ventures, Venture Gurukool",3000000.0,Pre-Series
SP Robotic Works,2012,Chennai,Education,An innovative place to explore next-generation technologies for students and all tech enthusiasts.,"Sneha Priya, Pranavan S",Mount Judi India Growth Fund,3000000.0,Series A
3SC,2018,Gurugram,Transportation & Logistics,An end-to-end supply chain analytics company that provides execution and analytics solutions which are comprehensive and customized.,"Lalit, Sarita Das",GEF Capital’s South Asia Fund,15000000.0,Series B
Chai Waale,2018,Chennai,Food & Beverages,"A wide range of exotic flavoured chai, in the most hygienic ambience at pocket-friendly prices.",Vidur Maheswari,"Sunil Sethia, Sunil Kumar Singhvi, Manish Mardia",600000.0,Unknown
Minimalist,2020,Jaipur,Lifestyle,Affordable skincare for all,"Mohit, Rahul Yadav",Sequoia Capital,10000000.0,Series A
Biconomy,2019,New Delhi,Technology,Developer platform to enable a simplified transaction and onboarding experience for Web3 projects,"Aniket Jindal, Sachin Tomar","Mechanism Capital, DACM",9000000.0,Unknown
Fixcraft,2018,Gurugram,Manufacturing,India's Most Trusted Automotive Repair Brand,"Vivek Sharma, Abhishek Goyal, Inderjeet Rao",Inflection Point Ventures,1000000.0,Pre-Series
Slice,2016,Bangalore,Finance,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards",Rajan Bajaj,"Northern Arc Capital, Niyogin Fintech Limited, Credit Saison India, Vivriti Capital",10000000.0,Unknown
90+ My Tuition App,2015,Bangalore,Education,Daskalos Virtual Academy Pvt Ltd is a company set up by a group of professionals who perform innovative work in management.,Vingish Vijay,Pearl Investment LLC,5000000.0,Series A
Wasabi,2021,Bangalore,Services,Help small businesses grow their sales via our customer interaction and growth platform.,"Pradeep Dodle, Nikhil Goenka","021 Capital, Sparrow Capital",1800000.0,Seed
Strata,2019,Bangalore,Real Estate,Strata is an innovative tech-driven platform redefining Fractional Investments in Premium Commercial Real Estate,"Sudarshan Lodha, Priyanka Rathore","Kotak Investment Advisors Limited, Gruhas Proptech",6000000.0,Series A
Ourbetterplanet,2020,Bangalore,E-commerce,A curated online marketplace for all things sustainable!,Pallavi Srivastava,VANS Group,300000.0,Seed
Murf.ai,2020,Bangalore,Technology,"Murf AI is working on simplifying voice audio and making high-quality voice overs accessible to everyone, using artificial intelligence.","Sneha Roy, Ankur Edkie, Divyanshu Pandey",Elevation Capital,1500000.0,Seed
JetSynthesys,2014,Pune,Media & Entertainment,"JetSynthesys is the group's most innovative company in the promising Digital and Technology Business World with a vision to create world class digital products, platforms and services in India",Rajan navani,Sachin Tendulkar,2000000.0,Unknown
MYFITNESS,2019,Silvassa,Lifestyle,"A new age D2C health & fitness brand with a mission to deliver products that taste good, feel good and do good.","Mohammad Patel, Rahil Virani",9Unicorns,1000000.0,Seed
I am Love,2020,Mumbai,Healthcare,"I am Love came into existence in early 2020, with the aim of redefining the relationship we have with our health.",Shilpa Rathi,Xentel Investments,4000000.0,Seed
MyGlamm,2015,Mumbai,E-commerce,MyGlamm is India’s fastest growing direct-to-consumer beauty brand.,"Darpan Sanghvi, Priyanka Gill",Accel Partners,40000000.0,Unknown
Gumlet,2019,Bangalore,Technology,Gumlet has built a new-age media delivery infrastructure that provides low code or no-code integration plugins that automate the entire media publishing pipeline.,"Divyesh Patel, Aditya Patadia",Sequoia’s Surge,1600000.0,Unknown
Eloelo,2015,Bangalore,Media & Entertainment,Creator-led Social Gaming & Live Streaming Platform,"Saurabh Pandey, Akshay Dubey","Waterbridge, Lumikai",2000000.0,Pre-Series
Edukemy,2020,Noida,Education,"Edukemy is the first EdTech company in the country, in the non –STEM segment, offering an immersive learning experience to the students, supported by cutting-edge technology and an AI-based evaluation system.",Chandrahas Panigrahi,"Auxano, Falcon5",2000000.0,Pre-Series
Zingbus,2019,Gurugram,Transportation & Logistics,Zingbus is a renowned brand in the bus operating industry.,"Mratunjay, Prashant Kumar, Ravi Kumar Verma",Infoedge ventures,5000000.0,Pre-Series
NewsReach,2018,Ahmedabad,Media & Entertainment,NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.,"Soniya Kundnani, Darshan Shah",JITO Angel Network,300000.0,Seed
Pencilton,2017,Hyderabad,Finance,"India's first app for kids & teens to manage and spend pocket money while learning about money in a fun, gamified way.","VishwajitPureti, Ashish Singh, Pallavi Tipparaju, Viraj Gadde",Jupiter,330000.0,Pre-Seed
Bandhoo,2020,Gurugram,Technology,"Bringing ease of eCommerce to Construction for builders, infrastructure companies, contractors and workers","Prashant Gupta, Sridhar Sundaram",Unitus Ventures,1000000.0,Unknown
ixigo,2007,Gurugram,Technology,"AI-based travel app offering seamless planning and booking for flights, trains, buses, hotels and more!","Rajnish Kumar, Aloke Bajpai","GIC, Infoedge",53000000.0,Unknown
The Whole Truth,2019,Mumbai,Food & Beverages,"Believe simple, homely ingredients, minimally processed, are the secret to nutritious, tasty food",Shashank Mehta,Sequoia Capital,6000000.0,Series A
Insane AI,2021,Bangalore,Lifestyle,Mainstream fitness formats are a primitive solution to the modern problems of a sedentary lifestyle.,"Anurag Mundhada, Jayesh Hannurkar, Sourabh Agrawal",pi Ventures,800000.0,Seed
Learn4o Technology,2020,Jaipur,Education,"Trying to solve the problem of unemployment in young graduates, who, despite having college degrees, don't have the skills for the real world.",Kamal Kant Gupta,IAN,3500000.0,Seed
